"nimi","yritys","ytunnus","osoite","postitoimipaikka","postinumero","laitospaikka","laitostyyppi","erillistuotanto_maksimi_yhteensa","erillistuotanto_tunti_yhteensa","erillistuotanto_poistettu","yhteistuotanto_teollisuus_yhteensa","yhteistuotanto_teollisuus_tunti","yhteistuotanto_teollisuus_poistettu","yhteistuotanto_kaunkolampo_yhteensa","yhteistuotanto_kaukolampo_tunti","yhteistuotanto_kaukolampo_poistettu","maksimi_yhteensa","tunti_yhteensa","poistettu_yhteensa","polttoaine1","polttoaine2","polttoaine3"
"Ahvenkoski","Oy Mankala Ab","0158738-4","Sitikkalantie 189","KAUSALA",47400,"Ahvenkoski","Vesivoima",24,24,0,0,0,0,0,0,0,24,24,0,,,
"Aittaluoto","Pori Energia Oy","0790442-4","PL 9 (Radanvarsi 2)","PORI",28101,"Pori Aittaluoto","Teollisuus CHP",0,0,0,14,4,0,29,9,0,43,13,0,"Turve","Teollisuuden puutähde","Teollisuuden puutähde"
"Aittokoski","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Aittokoski","Vesivoima","44,8","44,8",0,0,0,0,0,0,0,"44,8","44,8",0,,,
"Ajos Wind Oy","Ajos Wind Oy","2695578-8","Espoontie 21","Espoo",2740,"Ajos Wind Oy","Tuulivoima","42,4","42,4",0,0,0,0,0,0,0,"42,4","42,4",0,,,
"Alakoski","Alakoski Oy","0153780-3","PL166"," Mikkeli",50101,"Alakoski, Tampere","Vesivoima","4,6","4,6",0,0,0,0,0,0,0,"4,6","4,6",0,,,
"Alholma AK 1","Oy Alholmens Kraft Ab","1102489-2","PB 250","JAKOBSTAD",68601,"AK1","Teollisuus CHP",0,0,0,30,20,0,0,0,0,30,20,0,"Teollisuuden puutähde",,"Keskiraskas öljy"
"Alholma AK 2","Oy Alholmens Kraft Ab","1102489-2","PB 250","JAKOBSTAD",68601,"AK2","Teollisuus CHP",0,0,0,240,190,0,0,0,0,240,190,0,"Turve","Kivihiili","Teollisuuden puutähde"
"Anjalankoski","Stora Enso Publication Papers Oy Ltd",8562104,"Anjalan tehtaat","Inkeroinen",46900,"Inkeroinen (Kouvola)","Teollisuus CHP",0,0,0,"160,5","160,5",0,0,0,0,"160,5","160,5",0,"Teollisuuden puutähde","Sekapolttoaineet",
"Anjalankoski, G1","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Anjalankoski","Vesivoima",18,18,0,0,0,0,0,0,0,18,18,0,,,
"Annankangas T1-T10","Suomen Hyötytuuli Oy","1477522-9","PL 305","Pori",28601,"Annankangas T1-T10","Tuulivoima","34,5","34,5",0,0,0,0,0,0,0,"34,5","34,5",0,,,
"Askala","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Askala, Paimio","Vesivoima","1,3",1,0,0,0,0,0,0,0,"1,3",1,0,,,
"Atro","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Lapinlahti, Voimalaitoksentie 1, Syvärinpää","Vesivoima","6,5","6,5",0,0,0,0,0,0,0,"6,5","6,5",0,,,
"Billnäs","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Billnäs, Pohja","Vesivoima","1,8","1,8",0,0,0,0,0,0,0,"1,8","1,8",0,,,
"Björkfors","Oy HERRFORS Ab",,"Storgatan 8","68600 Jakobstad",,"Björkfors","Vesivoima","1,2","0,4",0,0,0,0,0,0,0,"1,2","0,4",0,,,
"Björknäs kraftvärmeverk","Raseborgs stad / Ekenäs Energi","0131297-0","PB 31, Kungsgatan 14","Ekenäs",10601,"Björknäs kraftvärmeverk","Kaukolämpö CHP",0,0,0,0,0,0,"3,7","3,7",0,"3,7","3,7",0,"Metsäpolttoaine, puu",,
"Elkko","Raahen Tuulienergia Oy","2342631-1","Rantakatu 8 A","Raahen Tuulienergia Oy",92100,"Elkko, Raahe","Tuulivoima",6,6,0,0,0,0,0,0,0,6,6,0,,,
"Energia-Tietola","Valkeakosken Energia Oy",10321983,"PL 89","Valkeakoski",37601,"Energia-Tietola","Kaukolämpö CHP",0,0,0,0,0,0,"11,6","11,6",0,"11,6","11,6",0,"Maakaasu",,
"Finlayson ve","Tampereen Sähkölaitos","0211675-2","PL 175","TAMPERE",33101,"Finlayson ve","Vesivoima","4,19","3,8",0,0,0,0,0,0,0,"4,19","3,8",0,,,
"Forssa kt","Fingrid Oyj","1072894-3","PL 530","Helsinki",101,"Varavoimalantie 6, 30420 Forssa
","Erillistuotanto",352,352,0,0,0,0,0,0,0,352,352,0,"Keskiraskas öljy",,
"Haapajärven Savinevan Tuulivoimala","Haapajärven Savinevan Tuulivoima Oy","2566301-1","Salomonkatu 17 A","Helsinki",100,"Haapajärven Savinevan Tuulivoima","Tuulivoima","23,1","23,1",0,0,0,0,0,0,0,"23,1","23,1",0,,,
"Haapajärvi Sauviinmäki","Haapajärvi Sauviinmäki Tuulivoima Oy","2566305-4","Jaakonkatu 3B 7 krs.","Helsinki",100,"Haapajärvi Sauviinmäki","Tuulivoima","6,6","6,6",0,0,0,0,0,0,0,"6,6","6,6",0,,,
"Haapakoski","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"haapakoski","Vesivoima","32,5","32,5",0,0,0,0,0,0,0,"32,5","32,5",0,,,
"Haapaniemi","Kuopion Energia Oy","2064700-4","PL105","Kuopio","Kuopio","Haapaniemen voimalaitos","Kaukolämpö CHP",0,0,0,0,0,0,"118,1","118,1",0,"118,1","118,1",0,"Turve","Raskas öljy","Metsäpolttoaine, puu"
"Haapavesi","Kanteleen Voima Oy","2069341-4","PL 47, Turvetie 112","Haapavesi",86600,"Haapaveden voimalaitos","Erillistuotanto",0,0,154,0,0,0,0,0,0,0,0,154,"Turve","Raskas öljy",
"Haapavesi","Vapo Oy",174817,"PL 22","Jyväskylä",40101,"Forssa","Teollisuus CHP",0,0,0,"2,7","2,6",0,0,0,0,"2,7","2,6",0,"Turve","Metsäpolttoaine, puu","Keskiraskas öljy"
"Hailikari","Haminan Energia Oy","0973749-8","Reutsinkatu 12","Hamina",49400,"Hailikari","Tuulivoima","3,1","3,1",0,0,0,0,0,0,0,"3,1","3,1",0,,,
"Halmekangas","Tuuliwatti Oy","2263278-9","PL 100","Helsinki","`00381","Halmekangas 1","Tuulivoima","38,5","38,5",0,0,0,0,0,0,0,"38,5","38,5",0,,,
"Hamari","Korpelan Voima kuntayhtymä","0178464-4","PL 13","Kannus",69101,"Hamari, Ylivieska","Vesivoima","2,5","2,5",0,0,0,0,0,0,0,"2,5","2,5",0,,,
"Hamina, Mäkelänkangas tv","Suomen Voima Oy","2144654-6","Mannerheiminkatu 24","06100 Porvoo",,"Hamina, Mäkelänkangas tv","Tuulivoima",8,8,0,0,0,0,0,0,0,8,8,0,,,
"Haminan höyrykattilalaitos","Haminan Energia Oy","0973749-8","Reutsinkatu 12","Hamina",48810,"Hamina","Teollisuus CHP",0,0,0,"1,5","1,5",0,0,0,0,"1,5","1,5",0,"Maakaasu",,
"Hanasaari B","Helsingin Energia",9000002882,"Kampinkuja 2","HELEN",90,"Hanasaari B","Kaukolämpö CHP",0,0,0,0,0,0,212,204,0,212,204,0,"Kivihiili","Raskas öljy",
"Hanhikoski","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Evijärvi / Hanhikoski","Vesivoima","1,5","1,5",0,0,0,0,0,0,0,"1,5","1,5",0,,,
"Hanko, Sändö tv 1-4","Saba Wind Oy Ab",,"c/o Ålands Företagsbyrå, Nygatan 9","Mariehamm",22100,"Hanko, Sändö tv 1-4","Tuulivoima",8,8,0,0,0,0,0,0,0,8,8,0,,,
"Harabacka",,"0855859-4",,,6100,"Harabacka","Kaukolämpö CHP",0,0,0,0,0,0,"9,6","9,4",0,"9,6","9,4",0,"Maakaasu","Keskiraskas öljy",
"Harjavalta","Länsi-Suomen Voima Oy","0132548-0","Voimalaitoksentie 70","Harjavalta",29200,"Harjavallan voimalaitos","Vesivoima",105,102,0,0,0,0,0,0,0,105,102,0,,,
"Harjavalta","Suomen Teollisuuden Energiapalvelut - STEP Oy","2212298-1","PL 9 (Radanvarsi 2)","Pori",28101,"Harjavalta","Erillistuotanto","6,3",2,0,0,0,0,0,0,0,"6,3",2,0,"Raskas öljy",,
"Hattarfors","Esse Elektro-Kraft Ab","0181952-8","Seinpottvägen 3","Esse",68820,"Hattar kraftverk","Vesivoima","1,1","1,1",0,0,0,0,0,0,0,"1,1","1,1",0,,,
"Haukineva Windfarm","EE Primus Oy","2721479-7","c/o Revico Grant Thornton Oy, Paciuksenkatu 27","Helsinki",271,"Haukineva Windfarm","Tuulivoima","6,9","6,9",0,0,0,0,0,0,0,"6,9","6,9",0,,,
"Hedet","Hedet Vindpark Ab","2913481-1","c/o Prokon Wind Energy Finland Oy Företagaregatan 13","Vaasa",65380,"Närpiö, Hedet H1-H18","Tuulivoima",79,79,0,0,0,0,0,0,0,79,79,0,,,
"Heinola","Adven Oy","2379598-5","Äyritie 18","Vantaa",1510,"Heinola Vuorikatu 24 c","Teollisuus CHP",0,0,0,0,0,3,0,0,0,0,0,3,"Teollisuuden puutähde","Keskiraskas öljy","Neste- tai jalostamokaasu"
"Heinola vp","Stora Enso Oyj Heinolan Flutingtehdas","1039050-8","PL 5","Heinola",18101,"Heinolan Flutigtehdas","Teollisuus CHP",0,0,0,19,19,0,0,0,0,19,19,0,"Turve","Teollisuuden puutähde","Puunjalostusteolliuuden jäteliemet"
"Hietamankoski","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Äänekoski / Hietamankoski","Vesivoima","6,7","6,7",0,0,0,0,0,0,0,"6,7","6,7",0,,,
"Hilmonkoski","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Kannonkoski / Hilmonkoski","Vesivoima","6,8","6,8",0,0,0,0,0,0,0,"6,8","6,8",0,,,
"Hilskansaari","Kansallistuuli Oy","2039087-8","Linnankatu 20 A","Turku",20100,"Pori, Hilskansaari","Tuulivoima",1,1,0,0,0,0,0,0,0,1,1,0,,,
"Hilskansaari","Pohjantuulen Voima Oy","2397004-2","Rovakatu 13 A 39","Rovaniemi",96100,"Merituulentie 11, Pori","Tuulivoima",2,2,0,0,0,0,0,0,0,2,2,0,,,
"Hinkismäki","KSS Energia Oy","0877511-8","Paimenpolku 3","Kouvola",45100,"Kouvola / Hinkismäki","Teollisuus CHP",0,0,0,0,0,0,45,45,0,45,45,0,"Maakaasu","Keskiraskas öljy",
"Hinkua","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Haapajärvi / Hinkua","Vesivoima","6,3","6,3",0,0,0,0,0,0,0,"6,3","6,3",0,,,
"Hirvikoski","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Nurmo / Hirvikoski","Vesivoima","8,5","8,5",0,0,0,0,0,0,0,"8,5","8,5",0,,,
"Hoikankangas, Kajaanin sähkölaitos","Puolustushallinnon rakennuslaitos","0988874-7","Unioninkatu 8, PL 199","Helsinki",131,"Hoikankangas, Kajaanin sähkölaitos","Erillistuotanto","1,5","1,5",0,0,0,0,0,0,0,"1,5","1,5",0,"Kevyt öljy",,
"Hovinsaari","Kotkan Energia Oy","1778863-1","Kotkantie 2","Kotka",48100,"Hovinsaari","Kaukolämpö CHP",0,0,0,0,0,0,51,51,0,51,51,0,"Turve",,"Maakaasu"
"Huikku Hailuoto","Huikku Tuulivoima Oy",26410518,,,,"Huikku Hailuoto","Tuulivoima",2,2,0,0,0,0,0,0,0,2,2,0,,,
"Huittinen, Pahkionvuori tv","Lännen Lintu Oy",1598796,"Matomäentie 100","32710 Sampu",,"Pahkionvuori, Huittinen","Tuulivoima","3,6","3,6",0,0,0,0,0,0,0,"3,6","3,6",0,,,
"Huutokoski kt","Fingrid Oyj","1072894-3","PL 530 ( Arkadiakatu 23 B)","Helsinki",100,"Huutokoski kt 1, 2, 3, 4, 5, 6","Erillistuotanto",180,180,0,0,0,0,0,0,0,180,180,0,"Keskiraskas öljy",,
"Hyötyvoimalaitos","Kotkan Energia Oy","1778863-1","Kotkantie 2","Kotka",48100,"Hyötyvoimalaitos","Teollisuus CHP",0,0,0,7,7,0,0,0,0,7,7,0,"Muut polttoaineena käytettävät sivu- ja jätetuotteet","Maakaasu",
"Hämeenkyrö lä","Hämeenkyrön voima Oy","2042003-7","Töölönkatu 4","Helsinki",100,"Metsä Board, Kyron tehdasalue Hämeenkyrö","Teollisuus CHP",0,0,0,20,20,"38,4",0,0,0,20,20,"38,4","Metsäpolttoaine, puu","Maakaasu",
"Hämeenkyrö ve","KYRÖSKOSKEN VOIMA OY","2003084-8","PL 12 /co Vatajankosken Sähkö Oy, vakka suomen voima","Kankaanpää",38701,"Kyröskoski","Vesivoima","12,9","12,9","1,6",0,0,0,0,0,0,"12,9","12,9","1,6",,,
"Hämeenlinna","Loimua Oy","0991065-1","Voimatie 32","Hämeenlinna",13110,"Hämeenlinna","Kaukolämpö CHP",0,0,0,0,0,0,65,65,0,65,65,0,"Metsäpolttoaine, puu","Turve","Maakaasu"
"Högsara, Kemiönsaari tv","Via Wind Oy Ltd",17209070,"Hannuksentie 1 ","Espoo",2270,"Högsara, Kemiönsaari","Tuulivoima",6,6,0,0,0,0,0,0,0,6,6,0,,,
"Ii, Kuivaniemi tv","Vapo Oy",1748176,"PL 22","Jyväskylä",40100,"Ii, Kuivaniemi tv","Tuulivoima",7,7,0,0,0,0,0,0,0,7,7,0,,,
"Ii, Olhava tv","Aalto Wind No 2 Ltd. Oy","2902290-8","Bulevardi 1 A","Helsinki",100,"Ii Olhava","Tuulivoima","33,9","33,9",0,0,0,0,0,0,0,"33,9","33,9",0,,,
"Ii, Viinamäki","Tuuliwatti Oy","2263278-9","Purotie 1","Helsinki",380,"Viinamäki Ii","Tuulivoima",21,21,0,0,0,0,0,0,0,21,21,0,,,
"Iisalmi","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Iisalmi, Energiakuja 3","Kaukolämpö CHP",0,0,0,0,0,0,15,15,0,15,15,0,"Turve",,
"Ikaalinen","Leppäkosken Sähkö Oy",,"PL 1","Ikaalinen",39501,"Ikaalinen","Teollisuus CHP",0,0,0,0,0,0,6,"4,5",0,6,"4,5",0,"Maakaasu",,
"Ilmatar Leppävirta Voimalaitos 1,2,3","Ilmatar Leppävirta Oy","2793068-9","Bulevardi 7","Helsinki",120,"Voimalaitos 1,2,3","Tuulivoima","10,5","10,5",0,0,0,0,0,0,0,"10,5","10,5",0,,,
"Ilomantsin pellettitehdas","Vapo Oy",174817,"PL 22","Jyväskylä",40101,"Ilomantsi","Teollisuus CHP",0,0,0,"2,8","2,7",0,0,0,0,"2,8","2,7",0,"Turve","Keskiraskas öljy","Metsäpolttoaine, puu"
"Imatra","Fortum Power & Heat OY","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Imatra","Vesivoima",192,192,0,0,0,0,0,0,0,192,192,0,,,
"Imatran Energia","Imatran Energia Oy","0679710-2","Karhumäenkatu 2","Imatra",55120,"Piikatu 16, 55120 Imatra","Kaukolämpö CHP",0,0,0,0,0,0,10,9,0,10,9,0,"Maakaasu",,
"Inkeroinen ve","Kemijoki Oy","0192171-7","PL 8131","ROVANIEMI",96101,"Inkeroinen","Vesivoima","16,3","16,3",0,0,0,0,0,0,0,"16,3","16,3",0,,,
"Inkoo, Barösund tv","Saba Wind Oy Ab",,"c/o Ålands Företagsbyrå, Nygatan 9","Mariehamm",22100,"Inkoo Barösund tv","Tuulivoima",2,2,0,0,0,0,0,0,0,2,2,0,,,
"Isohaara","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"isohaara","Vesivoima",106,106,0,0,0,0,0,0,0,106,106,0,,,
"Isonnevanmäki","Tuuliveikot Oy","2486154-2","Mattilantie 34","Kortesjärvi",62420,"Isonnevanmäki, Kauhava","Tuulivoima","2,5","2,5",0,0,0,0,0,0,0,"2,5","2,5",0,,,
"Jalasjoki/Niiles","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Jalasjoki (Niiles), Kurikka","Vesivoima",1,1,0,0,0,0,0,0,0,1,1,0,,,
"Jeppo Windfarm","EE Primus Oy","2721479-7","c/o Revico Grant Thornton Oy, Paciuksenkatu 27","Helsinki",271,"Jeppo Windfarm","Tuulivoima","6,9","6,9",0,0,0,0,0,0,0,"6,9","6,9",0,,,
"Joensuu","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Joensuu, Iiksenvaarantie 2","Kaukolämpö CHP",0,0,0,0,0,0,47,47,0,47,47,0,"Turve","Metsäpolttoaine, puu","Teollisuuden puutähde"
"Jokelan tuulipuisto 1","wpd Jokelan Tuulipuisto Oy","2508184-7","c/o wpd Finland Oy Keilaranta 13","Espoo",2150,"Jokelan tuulipuisto 1","Tuulivoima",12,12,0,0,0,0,0,0,0,12,12,0,,,
"Jokelan tuulipuisto 2","wpd Jokelan Tuulipuisto Oy","2508184-7","c/o wpd Finland Oy Keilaranta 13","Espoo",2150,"Jokelan tuulipuisto 2","Tuulivoima",12,12,0,0,0,0,0,0,0,12,12,0,,,
"Jokelan tuulipuisto 3","wpd Jokelan Tuulipuisto Oy","2508184-7","c/o wpd Finland Oy Keilaranta 13","Espoo",2150,"Jokelan tuulipuisto 3","Tuulivoima",12,12,0,0,0,0,0,0,0,12,12,0,,,
"Joukhaisselän Tuulipuisto","Joukhaisselän Tuulipuisto Oy","2528873-3","c/o wpd windmanager Scandinavia Oy, Sepänkatu 20","Oulu",90100,"Joukhaisselän Tuulipuisto, Sodankylä","Tuulivoima",27,27,0,0,0,0,0,0,0,27,27,0,,,
"Joutseno","Metsä Fibre Oy","0791416-3","Revontulentie 6","Espoo",2100,"Metsä Fibre Joutsenon tehdas","Teollisuus CHP",0,0,0,85,70,0,0,0,0,85,70,0,"Puunjalostusteolliuuden jäteliemet","Maakaasu",
"Joutseno","FC Power","0939845-9","PL 1","Ikaalinen",39501,"Joutseno","Teollisuus CHP",0,0,0,"3,9","1,6",0,0,0,0,"3,9","1,6",0,"Muut erittelemättömät energialähteet",,
"Jouttikallio","Vattenfall Sähköntuotanto oy","1076456-5","Maaistraatinportti 4 A","Helsinki",240,"Lapua / Jouttikallio","Erillistuotanto","3,1","3,1",0,0,0,0,0,0,0,"3,1","3,1",0,"Keskiraskas öljy",,
"Jouttikallio Wind Oy","Jouttikallio Wind Oy","2695582-5","Lapinlahdenkatu 1 C","Helsinki",180,"Jouttikallio Wind Oy","Tuulivoima","20,7","20,7",0,0,0,0,0,0,0,"20,7","20,7",0,,,
"Juankoski","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Juankoski, Juankoskentie 7A","Vesivoima","5,5","5,5",0,0,0,0,0,0,0,"5,5","5,5",0,,,
"Jumisko","PVO Vesivoima Oy","09404130-0","Virkkulantie 207","91100 Ii",91100,"jumisko","Vesivoima",26,25,0,0,0,0,0,0,0,26,25,0,,,
"Juntola","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Juntola, Paimio","Vesivoima","1,8","1,8",0,0,0,0,0,0,0,"1,8","1,8",0,,,
"Juotas","Keski-Lapin voima Oy","1680110-1","PL  49","Kemijärvi",98101,"Juotas","Vesivoima","3,7","3,7",0,0,0,0,0,0,0,"3,7","3,7",0,,,
"Juva","Koskienergia Koskivoima Oy","2447744-7","Kotakennääntie 31","Äänekoski",44100,"Juva, Tarvasjoki","Vesivoima","1,4","1,4",0,0,0,0,0,0,0,"1,4","1,4",0,,,
"Jylhämä","Fortum Power & Heat , Generation","0109160-2","Keilaniementie 1","PL 100","00048 Fortum","Jylhämä","Vesivoima",55,55,0,0,0,0,0,0,0,55,55,0,,,
"Jämsänkoski bv","UPM-Kymmene Oyj","1041090-0","PL35","Jämsänkoski",42301,"Jämsänkosken tehtaan voimalaitos","Teollisuus CHP",0,0,0,43,43,0,0,0,0,43,43,0,"Metsäpolttoaine, puu","Turve","Keskiraskas öljy"
"Järvelän vaneritehdas","Koskipower Oy","1890317-9","Tehdastie 2","JÄRVELÄ",16600,"Koskisen Oy, Järvelän levyteollisuus","Teollisuus CHP",0,0,0,"1,6",1,0,0,0,0,"1,6",1,0,"Teollisuuden puutähde","Metsäpolttoaine, puu","Keskiraskas öljy"
"Järvenpää","Vantaan Energia Keski-Uusimaa Oy","3130106-8","PL 95","Vantaa",1301,"Voimalankatu, 04430 Järvenpää","Kaukolämpö CHP",0,0,0,0,0,0,"23,8","23,8",0,"23,8","23,8",0,"Metsäpolttoaine, puu",,
"Kaaranneskoski","Tornionlaakson Voima Oy-","0361356-6","Myllytie 1","Pello",95700,"Kaaranneskoski","Vesivoima","2,8","2,2",0,0,0,0,0,0,0,"2,8","2,2",0,,,
"Kaarni","Rovakairan Tuotanto Oy","1637861-4","PL 8013","Rovaniemi",96101,"Kaarni","Vesivoima","1,2","1,1",0,0,0,0,0,0,0,"1,2","1,1",0,,,
"Kaihua","Rovakairan Tuotanto Oy","1637861-4","PL 8013","Rovaniemi",96101,"Kaihua I ja II","Vesivoima","5,4","5,3",0,0,0,0,0,0,0,"5,4","5,3",0,,,
"Kaipola","UPM-Kymmene Oyj",10410900,"Ky-35","Kuusankoski",45700,"Kaipola VP3","Teollisuus CHP",0,0,0,25,25,0,0,0,0,25,25,0,"Teollisuuden puutähde","Turve","Metsäpolttoaine, puu"
"Kaitfors","Oy Perhonjoki Ab",,"Storgatan 8","68600 Jakobstad",,"Kaitfors","Vesivoima","7,6","2,6",0,0,0,0,0,0,0,"7,6","2,6",0,,,
"Kalajärvi","Seinäjoen Energia Oy","0974008-0","Varastotie 5","Seinäjoki",60100,"Kalajärvi, Seinäjoki","Vesivoima","1,8","1,6",0,0,0,0,0,0,0,"1,8","1,6",0,,,
"Kalax","Kalax Vindkraft Ab/Oy","2604365-8","Keilalahdentie 2 - 4 (c/o Fortum Power and Heat Oy)","Espoo ","02150 (PL100)","Råskogsvägen 390, Närpes","Tuulivoima","38,7","38,7",0,0,0,0,0,0,0,"38,7","38,7",0,,,
"Kallioinen","UPM Energy Oy","2760639-5","Ky-35","Kuusankoski",45700,"Kallioinen","Vesivoima",12,12,0,0,0,0,0,0,0,12,12,0,,,
"Kaltimo","UPM Energy Oy","2760639-5","KY-35","Kuusankoski",45700,"Kaltimo","Vesivoima",32,30,0,0,0,0,0,0,0,32,30,0,,,
"Kankaanpää","Vatajankosken Sähkö Oy",,"Vuohiniityntie 2","Kankaanpää",,"Kankaanpää","Erillistuotanto",1,1,0,0,0,0,6,6,0,7,7,0,"Keskiraskas öljy",,
"Kankaanpäänmäki","SPC1- Kankaanpäänmäki Oy","2591921-6","Sydänmaantie 340",,,"Kankaanpäänmäki","Tuulivoima","7,5","7,5",0,0,0,0,0,0,0,"7,5","7,5",0,,,
"Kantti","Kantin Tuulipuisto Ky","2700714-9","Kluuvikatu 3","Helsinki","`00100","Kantti","Tuulivoima",24,24,0,0,0,0,0,0,0,24,24,0,,,
"Kantvik","Voimavasu Oy","1503851-1","PL 22","Jyväskylä",40101,"Kantvik","Teollisuus CHP",0,0,0,"4,2","4,2",0,0,0,0,"4,2","4,2",0,"Kivihiili",,
"Karhusaaren tuulivoimapuisto","Huikku Tuulivoima Oy","2641051-8","Soratie 2","Nastola",15550,"Karhusaaren tuulivoimapuisto","Tuulivoima","3,45","3,45",0,0,0,0,0,0,0,"3,45","3,45",0,,,
"Karjalankoski","Savon Voima Oyj","0171351-2","PL 1024","Toivala",70901,"Juankoski, Pohjolantie 10","Vesivoima","4,5","4,5",0,0,0,0,0,0,0,"4,5","4,5",0,,,
"Karvetti","Naantalin Energia Oy","0960388-7","PL 33","Naantali",21101,"Rautakatu 7 Naantali","Erillistuotanto","1,1",1,0,0,0,0,0,0,0,"1,1",1,0,"Keskiraskas öljy","Keskiraskas öljy",
